word|pos|firsttime|lasttime|counter|entries|examples|translation
testen|VERB|2021/04/17|2021/04/17|1|spätestens|Ich muss spätestens um 9 Uhr bei der Arbeit sein.|I have to be at work at 9 o'clock at the latest. 
auch|ADV|2021/04/17|2021/04/17|1|||
aktiv|ADV|2021/04/17|2021/04/17|1|aktiv|Ich bin sehr aktiv und mache viel Sport.|I am very active and make a lot of sports. 
mein|DET|2021/04/17|2021/04/17|1|||
erstellen|VERB|2021/04/17|2021/04/17|1|||
Prototyp|NOUN|2021/04/17|2021/04/17|1|||
initiieren|ADJ|2021/04/17|2021/04/17|1|||
Pilotprojekte|NOUN|2021/04/17|2021/04/17|1|||
Leben|NOUN|2021/04/17|2021/04/17|1|||
Arbeit|NOUN|2021/04/17|2021/04/17|1|||
im|ADP|2021/04/17|2021/04/17|1|||
Ausland|NOUN|2021/04/17|2021/04/17|1|das Ausland|Wir fahren im Urlaub meistens ins Ausland.|We are usually going abroad on vacation. country. 
beispielsweise|ADV|2021/04/17|2021/04/17|1|||
nützliche|ADJ|2021/04/17|2021/04/17|1|||
stimulieren|VERB|2021/04/17|2021/04/17|1|||
scheinen|VERB|2021/04/17|2021/04/17|1|scheinen, scheint, schien, hat geschienen|1. Gestern hat es geregnet. Heute scheint wieder die Sonne. 2. Mein Kollege scheint krank zu sein. Er war heute nicht im Büro.|1. Yesterday it rained. Today the sun seems again. 2. My colleague seems to be ill. He was not in the office today. 
je|ADV|2021/04/17|2021/04/17|1|||
Land|NOUN|2021/04/17|2021/04/17|1|die Landwirtschaft|Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.|In the country, most people work in agriculture. 
Person|NOUN|2021/04/17|2021/04/17|1|||
besuchen|VERB|2021/04/17|2021/04/17|1|besuchen, besucht, besuchte, hat besucht|1. Besuchen Sie uns doch mal. 2. Sie müssen noch einen Kurs besuchen.|1. Visit us. 2. You still have to visit a course. 
wahrscheinlicher|ADV|2021/04/17|2021/04/17|1|||
nutzen|VERB|2021/04/17|2021/04/17|1|||
Dienstleistungen|NOUN|2021/04/17|2021/04/17|1|||
oder|CCONJ|2021/04/17|2021/04/17|1|||
Produkt|NOUN|2021/04/17|2021/04/17|1|die Produktion|Die Produktion von Käse dauert oft viele Wochen.|The production of cheese often takes many weeks. 
erschaffen|VERB|2021/04/17|2021/04/17|1|||
Tatsächlich|ADV|2021/04/17|2021/04/17|1|||
zeigen|VERB|2021/04/17|2021/04/17|1|||
Untersuchung|NOUN|2021/04/17|2021/04/17|1|die Untersuchung, -en|Ich habe morgen eine Untersuchung im Krankenhaus.|I have a study in the hospital tomorrow. 
CEOs|NOUN|2021/04/17|2021/04/17|1|||
vor|ADP|2021/04/17|2021/04/17|1|||
Ernennung|NOUN|2021/04/17|2021/04/17|1|||
mindestens|ADV|2021/04/17|2021/04/17|1|mindestens|1. Ein guter Fernsehapparat kostet mindestens 500 Euro. 2. Bitte kommen Sie mindestens eine Stunde vor Abflug zum Flughafen.|1. A good TV costs at least 500 euros. 2. Please come at least one hour before departure to the airport. 
internationale|ADJ|2021/04/17|2021/04/17|1|||
sammeln|VERB|2021/04/17|2021/04/17|1|sammeln, sammelt, sammelte, hat gesammelt|1. Mein Bruder sammelt Briefmarken. 2. Im Herbst sammeln wir im Wald Pilze.|1. My brother collects stamps. 2. In the fall we collect mushrooms in the forest. 
finanziell|ADV|2021/04/17|2021/04/17|1|finanziell|Finanziell geht es meinem Neffen jetzt besser.|Financially, my nephew is feeling better now. 
gut|ADV|2021/04/17|2021/04/17|1|gut|1. Ich kenne ein gutes Lokal. 2. Maria kann gut tanzen. 3. Ich glaube, die Wurst ist nicht mehr gut. 4. Mir ist heute gar nicht gut. 5. Wir hatten im Urlaub gutes Wetter. 6. Heute ist das Wetter wieder besser. 7. Christine ist meine beste Freundin. 8. Ich komme um 13 Uhr. – Gut! 9. Guten Morgen! 10.Ein gutes neues Jahr! 11. Guten Appetit!|1. I know a good restaurant. 2. Maria can dance well. 3. I believe the sausage is not good anymore. 4. I'm not feeling well today. 5. We had good weather on vacation. 6. Today the weather is better again. 7. Christine is my best friend. 8. I come at 13 o'clock. - Well! 9. Good morning! 10.A Happy New Year! 11. Good appetite! 
abschneiden|VERB|2021/04/17|2021/04/17|1|||
CEOs|NOUN|2021/04/17|2021/04/17|1|||
ohne|ADP|2021/04/17|2021/04/17|1|ohne|1. Bitte eine Pizza ohne Zwiebeln. 2. Ohne Auto ist es schwer, zur Arbeit zu kommen. 3. Mein Sohn ist einfach mit dem Auto weggefahren, ohne mich zu fragen. 4. In diesem Haus kann man nichts machen, ohne dass die Nachbarn darüber reden.|1. Please a pizza without onions. 2. Without a car, it's hard to get to work. 3. My son is just driven away by car without asking me. 4. In this house you can not do anything without the neighbors talking about it. 
5.|ADJ|2021/04/17|2021/04/17|1|||
Networking|NOUN|2021/04/17|2021/04/17|1|||
treffen|VERB|2021/04/17|2021/04/17|1|treffen, trifft, traf, hat getroffen|1. Wir treffen uns immer freitags. 2. Ich habe Petra zufällig in der Stadt getroffen.|1. We always meet on Fridays. 2. I randomly met Petra in the city. 
sprechen|VERB|2021/04/17|2021/04/17|1|||
mit|ADP|2021/04/17|2021/04/17|1|||
Berufsfeldern|NOUN|2021/04/17|2021/04/17|1|||
mit|ADP|2021/04/17|2021/04/17|1|||
unterschiedlich|ADJ|2021/04/17|2021/04/17|1|unterschiedlich|Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich mich für Sprachen.|My brother and I are very different. He is interested in mathematics, I am for languages. 
Sichtweisen|NOUN|2021/04/17|2021/04/17|1|||
mein|DET|2021/04/17|2021/04/17|1|||
Wissen|NOUN|2021/04/17|2021/04/17|1|das Wissen|1. Es hat ein großes Wissen über Pflanzen. 2. Ich tue nichts ohne dein Wissen.|1. It has a great knowledge of plants. 2. I do not do anything without your knowledge. 
erweitern|VERB|2021/04/17|2021/04/17|1|||
Ding|NOUN|2021/04/17|2021/04/17|1|das Ding, -e|Gib mir bitte mal das Ding da drüben.|Please give me the thing over there. 
einer|DET|2021/04/17|2021/04/17|1|einerseits|Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer.|On the one hand, I would like to do the trip, on the other hand, it is too expensive. 
Perspektive|NOUN|2021/04/17|2021/04/17|1|||
sehen|VERB|2021/04/17|2021/04/17|1|das Fernsehen|Was gibt es heute Abend im Fernsehen?|What is there on TV tonight? 
gut|ADJ|2021/04/17|2021/04/17|1|gut|1. Ich kenne ein gutes Lokal. 2. Maria kann gut tanzen. 3. Ich glaube, die Wurst ist nicht mehr gut. 4. Mir ist heute gar nicht gut. 5. Wir hatten im Urlaub gutes Wetter. 6. Heute ist das Wetter wieder besser. 7. Christine ist meine beste Freundin. 8. Ich komme um 13 Uhr. – Gut! 9. Guten Morgen! 10.Ein gutes neues Jahr! 11. Guten Appetit!|1. I know a good restaurant. 2. Maria can dance well. 3. I believe the sausage is not good anymore. 4. I'm not feeling well today. 5. We had good weather on vacation. 6. Today the weather is better again. 7. Christine is my best friend. 8. I come at 13 o'clock. - Well! 9. Good morning! 10.A Happy New Year! 11. Good appetite! 
Nachricht|NOUN|2021/04/17|2021/04/17|1|die Nachricht, -en|1. Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden. 2. Ich habe im Radio die Nachrichten gehört. 3. Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.|1. I have good news for you. They passed the exam. 2. I heard the news on the radio. 3. At the moment I'm not at home. But you can leave a message. to let. 
auch|ADV|2021/04/17|2021/04/17|1|||
wenn|SCONJ|2021/04/17|2021/04/17|1|wenn|Kommst du zu der Party? - Vielleicht, wenn ich nicht arbeiten muss.|Are you coming to the party? - Maybe if I do not have to work. 
mit|ADP|2021/04/17|2021/04/17|1|||
richtig|ADJ|2021/04/17|2021/04/17|1|richtig|1. Was Sie da sagen, ist richtig. 2. Geht Ihre Uhr richtig? 3. Das ist nicht die richtige Größe.|1. What you say is right. 2. Does your watch right? 3. That's not the right size. 
gebären|VERB|2021/04/17|2021/04/17|1|||
trotzdem|ADV|2021/04/17|2021/04/17|1|trotzdem|Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.|It was pretty cold. Nevertheless, I went swimming. 
Innovator/-innen|NOUN|2021/04/17|2021/04/17|1|||
indem|SCONJ|2021/04/17|2021/04/17|1|indem|Du kannst die Datei öffnen, indem du hier klickst.|You can open the file by clicking here. 
oben|ADV|2021/04/17|2021/04/17|1|oben|1. Wir wohnen oben im 4. Stock. 2. Die Butter liegt im Kühlschrank ganz oben.|1. We live up on the 4th floor. 2. The butter is in the refrigerator at the top. 
beschrieben|ADJ|2021/04/17|2021/04/17|1|beschreiben, beschreibt, beschrieb, hat beschrieben|Kannst du mir den Weg zum Flughafen beschreiben?|Can you describe my way to the airport? 
regelmäßig|ADV|2021/04/17|2021/04/17|1|regelmäßig|Sie müssen die Tabletten regelmäßig nehmen.|You have to take the tablets regularly. 
trainieren|VERB|2021/04/17|2021/04/17|1|trainieren, trainiert, trainierte, hat trainiert|Wir trainieren einmal pro Woche im Sportverein.|We train once a week in the sports club. 
sodass|SCONJ|2021/04/17|2021/04/17|1|sodass|Der Zug hatte zwei Stunden Verspätung, sodass ich erst um 23 Uhr nach Hause kam.|The train had two hours delay, so I came home at 23 o'clock. 
entsprechend|ADJ|2021/04/17|2021/04/17|1|||
Verhaltensweise|NOUN|2021/04/17|2021/04/17|1|||
mit|ADP|2021/04/17|2021/04/17|1|||
Zeit|NOUN|2021/04/17|2021/04/17|1|die Zeit|1. Ich habe heute keine Zeit. 2. Es ist noch früh. Wir haben noch viel Zeit. 3. Um welche Zeit sind Sie normalerweise zu Hause? 4. Um diese Zeit ist hier wenig los.|1. I have no time today. 2. It's still early. We still have a lot of time left. 3. What time are you normally at home? Way at home? 4. There is little going on around this time. 
automatisieren|VERB|2021/04/17|2021/04/17|1|||
Kurz|ADV|2021/04/17|2021/04/17|1|||
sagen|VERB|2021/04/17|2021/04/17|1|Bescheid sagen|Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.|I inquire about the appointments and then tell them. 
solche|PRON|2021/04/17|2021/04/17|1|||
gebären|VERB|2021/04/17|2021/04/17|1|||
sondern|CCONJ|2021/04/17|2021/04/17|1|sondern|Unser Besuch kommt nicht heute, sondern morgen.|Our visit does not come today, but tomorrow. 
zu|ADP|2021/04/17|2021/04/17|1|||
du|PRON|2021/04/17|2021/04/17|1|||
Forschungsergebnissen|NOUN|2021/04/17|2021/04/17|1|||
zu|ADP|2021/04/17|2021/04/17|1|||
Innovator/-innen|NOUN|2021/04/17|2021/04/17|1|||
gebären|VERB|2021/04/17|2021/04/17|1|||
sondern|CCONJ|2021/04/17|2021/04/17|1|sondern|Unser Besuch kommt nicht heute, sondern morgen.|Our visit does not come today, but tomorrow. 
Meinung|NOUN|2021/04/17|2021/04/17|1|die Meinung, -en|1. Ich bin der Meinung, dass du recht hast. 2. Ich habe meine Meinung geändert. 3. Meiner Meinung nach gibt es hier zu viele Autos.|1. I think you're right. 2. I have changed my opinion. 3. In my opinion, there are too many cars here. 
noch|ADV|2021/04/17|2021/04/17|1|||
erforderlich|ADV|2021/04/17|2021/04/17|1|erforderlich|1. Hier ist die Liste der erforderlichen Zutaten für den Kuchen. 2. Es ist erforderlich, dass man den Pass persönlich abholt.|1. Here is the list of the required ingredients for the cake. Acts for the cake. 2. It is necessary that you pick up the passport personally. 
entwickeln|VERB|2021/04/17|2021/04/17|1|entwickeln, entwickelt, entwickelte, hat entwickelt|1. Unser Sohn entwickelt sich gut in der Schule. 2. Die Firma hat ein neues Produkt entwickelt.|1. Our son develops well in school. 2. The company has developed a new product. 
